#------------------------------------------------------------------------------		
#		
# GENERIC WORDS, sorted alphabetically		
#		
#------------------------------------------------------------------------------		
		
action	Action	Aktion
layout.settings	Administration	Verwaltung
layout.security_hotspots	Security Hotspots	Sicherheits Hotspots
layout.settings.TRK	Project Settings	Projekt Einstellungen
layout.settings.APP	Application Settings	Anwendungseinstellungen
layout.settings.VW	Portfolio Settings	Portfolio-Einstellungen
layout.settings.SVW	Portfolio Settings	Portfolio-Einstellungen
layout.security_reports	Security Reports	Sicherheitsberichte
layout.sonar.slogan	Continuous Code Quality	Continuous-Code-Qualität
layout.must_be_configured	This will be available once your project is configured and analyzed.	Dies wird zur Verfügung stehen, sobald Ihr Projekt konfiguriert und analysiert.
		
sidebar.projects	Projects	Projekte
sidebar.project_settings	Configuration	Aufbau
sidebar.security	Security	Sicherheit
sidebar.system	System	System
sidebar.tools	Tools	Werkzeuge
		
		
#------------------------------------------------------------------------------		
#		
# VISIBILITY		
#		
#------------------------------------------------------------------------------		
		
visibility.both	Public, Private	Öffentlich, Privat
visibility.public	Public	Öffentlichkeit
visibility.public.description.TRK	This project is public. Anyone can browse and see the source code.	Dieses Projekt ist öffentlich. Jeder kann den Quellcode sehen und sehen.
visibility.public.description.VW	This portfolio is public. Anyone can browse it.	Dieses Portfolio ist öffentlich. Jeder kann es sehen.
visibility.public.description.APP	This application is public. Anyone can browse it.	Diese Anwendung ist öffentlich. Jeder kann es sehen.
visibility.public.description.short	Anyone can browse and see the source code.	Jeder kann den Quellcode sehen und sehen.
visibility.public.description.long	Anyone will be able to browse your source code and see the result of your analysis.	Jeder kann den Quellcode durchsuchen und das Ergebnis der Analyse zu sehen.
visibility.private	Private	Privatgelände
visibility.private.description.TRK	This project is private. Only authorized users can browse and see the source code.	Dieses Projekt ist privat. Nur autorisierte Benutzer können durchsuchen und den Quellcode sehen.
visibility.private.description.VW	This portfolio is private. Only authorized users can browse it.	Dieses Portfolio ist privat. Nur autorisierte Benutzer können es sehen.
visibility.private.description.APP	This application is private. Only authorized users can browse it.	Diese Anwendung ist privat. Nur autorisierte Benutzer können es sehen.
visibility.private.description.short	Only authorized users can browse and see the source code.	Nur autorisierte Benutzer können durchsuchen und den Quellcode sehen.
visibility.private.description.long	Only members of the organization will be able to browse your source code and see the result of your analysis.	Nur Mitglieder der Organisation werden in der Lage sein, den Quellcode zu durchsuchen und das Ergebnis der Analyse zu sehen.
		
		
#------------------------------------------------------------------------------		
#		
# ADMIN PAGE TITLES and descriptions		
#		
#------------------------------------------------------------------------------		
		
application_console.branches	Application Branches	Anwendung Branchen
application_console.branches.cancel	Cancel	Stornieren
application_console.branches.configuration	Branch configuration	Zweig Konfiguration
application_console.branches.create	Create branch	erstellen Zweig
application_console.branches.create.verb	Create	Erstellen
application_console.branches.create.help	For each project of your Application, choose a project branch that will be displayed inside the Application’s branch.	Für jedes Projekt Ihrer Anwendung, wählen Sie ein Projekt Zweig, der in der Anwendung der Filiale angezeigt.
application_console.branches.delete	Delete branch	Löschen Zweig
application_console.branches.delete.warning_x	Are you sure you want to delete "{0}" ?	Sind Sie sicher, dass Sie löschen möchten „{0}“?
application_console.branches.help	Track branches other than the main branch of this application's projects.	Verfolgen Sie Zweige außer dem Hauptzweig der dieses Projekte der Anwendung.
application_console.branches.main_branch	Main Branch	Main Branch
application_console.branches.update	Update branch	Update Zweig
application_console.branches.update.verb	Update	Aktualisieren
application_console.branches.no_branches	No branches yet. You can create branches once projects are selected for this Application.	Keine Filialen vor. Sie können Zweige erstellen, sobald Projekte für diese Anwendung ausgewählt werden.
application_console.page	Edit Definition	Definition bearbeiten
application_console.delete_application	Delete Application	Löschen Anwendungs
application_console.recompute	Recompute	Recompute
application_console.refresh_started	Your application will be recomputed soon	Ihre Anwendung wird in Kürze neu berechnet
application_console.do_you_want_to_delete	Are you sure that you want to delete "{0}"?	Sind Sie sicher, dass Sie „{0}“ löschen?
coding_rules.page	Rules	Regeln
global_permissions.page	Global Permissions	globale Berechtigungen
global_permissions.page.description	Grant and revoke permissions to make changes at the global level. These permissions include editing Quality Profiles, executing analysis, and performing global system administration.	Erteilen und Entziehen von Berechtigungen auf globaler Ebene Änderungen vorzunehmen. Diese Berechtigungen umfassen die Bearbeitung Qualitätsprofile, Analyse ausführen und die Durchführung globaler Systemadministration.
roles.page	Project Permissions	Projekt Berechtigungen
roles.page.description2	Grant and revoke project-level permissions. Permissions can be granted to groups or individual users.	Erteilen und Entziehen Projektebene Berechtigungen. Berechtigungen können Gruppen oder einzelne Benutzer vergeben werden.
roles.page.description_portfolio	Grant and revoke portfolio-level permissions. Permissions can be granted to groups or individual users.	Erteilen und Entziehen Portfolio-Ebene-Berechtigungen. Berechtigungen können Gruppen oder einzelne Benutzer vergeben werden.
roles.page.description_application	Grant and revoke application-level permissions. Permissions can be granted to groups or individual users.	Erteilen und Entziehen Anwendungsebene Berechtigungen. Berechtigungen können Gruppen oder einzelne Benutzer vergeben werden.
project_settings.page	General Settings	Allgemeine Einstellungen
project_settings.page.description	Edit project settings.	Projekteinstellungen bearbeiten.
project_links.page	Links	Links
project_links.page.description	Edit some links associated with this project.	Bearbeiten Sie einige Links mit diesem Projekt verbunden sind.
projects_management.page.description	Use this page to delete multiple projects at once, or to provision projects if you would like to configure them before the first analysis. Note that once a project is provisioned, you have access to perform all project configurations on it.	Auf dieser Seite können mehrere Projekte auf einmal, oder zur Bereitstellung von Projekten löschen, wenn sie vor der ersten Analyse konfigurieren möchten. Beachten Sie, dass, sobald ein Projekt bereitgestellt wird, erhalten Sie Zugriff haben alle Projektkonfigurationen auf sie auszuführen.
settings.page	General Settings	Allgemeine Einstellungen
settings.page.description	Edit global settings for this {instance} instance.	Bearbeiten Sie globale Einstellungen für diese {instance} Instanz.
system_info.page	System Info	Systeminformationen
project_quality_profiles.page	Quality Profiles	Qualitätsprofile
project_quality_profiles.page.description	Choose which profile is associated with this project on a language-by-language basis.	Wählen Sie, welches Profil mit diesem Projekt auf eine Sprache-zu-Sprache Basis verbunden ist.
project_quality_gate.page	Quality Gate	Qualität Tor
project_quality_gate.page.description	Choose which quality gate is associated with this project.	Wählen Sie, welche Qualität Gate mit diesem Projekt verbunden ist.
update_key.page	Update Key	Update Key
update_key.page.description	Edit the key of a project. Key changes must be made here BEFORE analyzing the project with the new keys, otherwise the analysis will simply create another project with the new key, rather than updating the existing project.	Bearbeiten Sie den Schlüssel eines Projekts. Wesentliche Änderungen müssen hier vor der Analyse das Projekt mit den neuen Schlüssel vorgenommen werden, da sonst die Analyse einfach ein anderes Projekt mit dem neuen Schlüssel erstellen, anstatt das vorhandene Projekt zu aktualisieren.
deletion.page	Deletion	Streichung
project_deletion.page.description	Delete this project. The operation cannot be undone.	Löschen dieses Projekt. Der Vorgang kann rückgängig gemacht wird nicht.
portfolio_deletion.page.description	This portfolio and its sub-portfolios will be deleted. If this portfolio is referenced by other entities, it will be removed from them. Independent entities referenced by this portfolio, such as projects and other top-level portfolios will not be deleted. This operation cannot be undone.	Dieses Portfolio und seine Teilportfolios werden gelöscht. Wenn dieser Portfolio durch andere Einrichtungen verwiesen wird, wird es von ihnen entfernt werden. Unabhängige Einheiten dieses Portfolios verwiesen, wie Projekte und andere Top-Level-Portfolios werden nicht gelöscht. Dieser Vorgang kann rückgängig gemacht werden es nicht sein.
application_deletion.page.description	Delete this application. Application projects will not be deleted. Projects referenced by this application will not be deleted. This operation cannot be undone.	Löschen Sie diese Anwendung. Anwendungsprojekte werden nicht gelöscht. Projekte, die von dieser Anwendung verwiesen wird, nicht gelöscht werden. Dieser Vorgang kann rückgängig gemacht werden es nicht sein.
application.branches.help	Easily create Application branches composed of the branches of projects in your application.	Einfaches Erstellen von Zweigen Anwendung besteht aus den Zweigen von Projekten in Ihrer Anwendung.
application.branches.link	Create Branch	erstellen Ast
project_branch_pull_request.page	Branches & Pull Requests	Branchen & Pull Requests
project_branch_pull_request.lifetime_information	Branches and Pull Requests are permanently deleted after {days} days without analysis.	Zweige und Pull Requests werden dauerhaft gelöscht, nachdem {} Tage Tage ohne Analyse.
project_branch_pull_request.lifetime_information.admin	You can adjust this value globally in {settings}.	Sie können diesen Wert global in {} Einstellungen anpassen.
project_branch_pull_request.branch.rename	Rename branch	Rename Zweig
project_branch_pull_request.branch.delete	Delete branch	Löschen Zweig
project_branch_pull_request.branch.delete.are_you_sure	Are you sure you want to delete branch "{0}"?	Sind Sie sicher, verzweigen Sie löschen möchten „{0}“?
project_branch_pull_request.branch.auto_deletion.keep_when_inactive	Keep when inactive	Halten Sie, wenn inaktiv
project_branch_pull_request.branch.auto_deletion.keep_when_inactive.tooltip	When turned on, the branch will not be automatically deleted when inactive.	Wenn diese Funktion aktiviert, wird der Zweig nicht automatisch bei Inaktivität gelöscht werden.
project_branch_pull_request.branch.auto_deletion.main_branch_tooltip	The main branch is always excluded from automatic deletion.	Der Hauptarm wird immer von der automatischen Löschung ausgeschlossen.
project_branch_pull_request.pull_request.delete	Delete Pull Request	Delete-Pull-Request
project_branch_pull_request.pull_request.delete.are_you_sure	Are you sure you want to delete Pull Request "{0}"?	Sind Sie sicher, dass Sie Pull-Request löschen möchten „{0}“?
project_branch_pull_request.tabs.branches	Branches	Geäst
project_branch_pull_request.tabs.pull_requests	Pull Requests	Pull Requests
project_branch_pull_request.table.branch	Branch	Ast
project_branch_pull_request.table.pull_request	Pull Request	Pull-Request
project_branch_pull_request.last_analysis_date	Last Analysis Date	Letzte Analyse Datum
		
project_baseline.page	New Code	Neuer Code
project_baseline.page.description	Use this page to define the New Code of your project. {link}	Auf dieser Seite können Sie den neuen Code Ihres Projekts zu definieren. {Verknüpfung}
project_baseline.page.description.link	Learn More	Erfahren Sie mehr
project_baseline.page.description2	You can adjust this setting globally in {link}	Sie können diese Einstellung global in {link} anpassen
project_baseline.page.description2.link	General Settings	Allgemeine Einstellungen
project_baseline.default_setting	Project setting	Projekteinstellung
project_baseline.general_setting	Use the general setting	Verwenden Sie die allgemeine Einstellung
project_baseline.specific_setting	Define a specific setting for this project	Definieren Sie eine bestimmte Einstellung für dieses Projekt
project_baseline.configure_branches	Set a specific setting for a branch	Legen Sie eine bestimmte Einstellung für einen Zweig
		
baseline.previous_version	Previous version	Vorherige Version
baseline.previous_version.description	The New Code will be based on the analysis following the previous version.	Der neue Code wird auf der Analyse nach der vorherige Version basieren.
baseline.number_days	Number of days	Anzahl der Tage
baseline.number_days.description	A floating window set to a specific number of days used to define New Code.	Ein schwebendes Fenster Satz auf eine bestimmte Anzahl von Tagen verwendete Neuen Code zu definieren.
baseline.specific_analysis	Specific analysis	spezifische Analyse
baseline.specific_analysis.description	Choose an analysis as the baseline for the New Code.	Wählen Sie eine Analyse als Grundlage für den neuen Code.
baseline.reference_branch	Reference branch	Referenzzweig
		
baseline.reference_branch.description	Choose a branch as the reference for the New Code.	Wählen Sie einen Zweig als Referenz für den neuen Code.
baseline.reference_branch.description2	The branch you select as the reference branch will need its own New Code definition to prevent it from using itself as a reference.	Der Zweig Sie als Referenzzweig wählen wird seine eigene Neuer Code Definition müssen, damit er nicht selbst als Referenz verwendet.
		
